_id,Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
38,2024-25,768578,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
39,2024-25,14620,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
40,2024-25,94082,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
41,2024-25,16632,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
42,2024-25,3658125,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
43,2024-25,612452,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
44,2024-25,31987,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
45,2024-25,646565,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
46,2024-25,34718,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
47,2024-25,5388,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
48,2024-25,3209241,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
49,2024-25,10999,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
50,2024-25,89700,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
51,2024-25,35155,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
52,2024-25,38706152,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Salaries and wages,No Value
53,2024-25,6298135,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Employee benefits,No Value
54,2024-25,1407404,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transportation and communication,No Value
55,2024-25,10479292,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Services,No Value
56,2024-25,783867,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Supplies and equipment,No Value
57,2024-25,29361300,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program
58,2024-25,19682175,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership - Federal-Public Health and Env
59,2024-25,3234046,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership - Provincial-Public Health and Env.
60,2024-25,100000,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Grassroots Growth Program
61,2024-25,849559,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Great Lakes Canada - Ontario Agreement
62,2024-25,486792,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
63,2024-25,-1620000,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Recoveries,No Value
64,2024-25,15668,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
65,2024-25,25521144,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Salaries and wages,No Value
66,2024-25,4066951,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Employee benefits,No Value
67,2024-25,553010,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transportation and communication,No Value
68,2024-25,10050859,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Services,No Value
69,2024-25,344350,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Supplies and equipment,No Value
70,2024-25,6957023,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Agri-Food Processing Fund
71,2024-25,32932966,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Canadian Ag Partnership-Federal-Economic Development
72,2024-25,4257515,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Grassroots Growth Program
73,2024-25,55107174,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Ontario Wine Fund
74,2024-25,4471480,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Rural Economic Development Program
75,2024-25,6393288,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
76,2024-25,81451,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Veterinary Incentive Program
77,2024-25,3064814,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Salaries and wages,No Value
78,2024-25,418509,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Employee benefits,No Value
79,2024-25,37165,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transportation and communication,No Value
80,2024-25,475319,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Services,No Value
81,2024-25,16027,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Supplies and equipment,No Value
82,2024-25,168943,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Food Safety Research
83,2024-25,1250000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Grants in Lieu of Taxes
84,2024-25,71646000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,University of Guelph
85,2024-25,13989181,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Canadian Ag Partnership-Federal-Research
86,2024-25,13381680,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
87,2024-25,49977985,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
88,2024-25,23200000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
89,2024-25,1507,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriRecovery
90,2024-25,43369500,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
91,2024-25,55001,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Financial Protection Programs and Loan Guarantees
92,2024-25,150000000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
93,2024-25,755784,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Federal
94,2024-25,804353,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Provincial
95,2024-25,488748,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
96,2024-25,4500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Maintenance and Repairs
97,2024-25,500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
98,2024-25,12899599,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Salaries and wages,No Value
99,2024-25,1853815,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Employee benefits,No Value
100,2024-25,139593,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Transportation and communication,No Value
101,2024-25,1011338,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Services,No Value
102,2024-25,24807,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Supplies and equipment,No Value
103,2024-25,3687327,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
104,2024-25,507941,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
105,2024-25,237461,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
106,2024-25,66377,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
107,2024-25,26582,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
108,2024-25,226,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
109,2024-25,24701,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
110,2024-25,382133,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
111,2024-25,56953,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
112,2024-25,485,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
113,2024-25,164,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
114,2024-25,3156405,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
115,2024-25,491823,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
116,2024-25,18662,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
117,2024-25,2568363,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
118,2024-25,33477,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
119,2024-25,1998046,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning ,Salaries and wages,No Value
120,2024-25,317060,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning ,Employee benefits,No Value
121,2024-25,25659,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning ,Transportation and communication,No Value
122,2024-25,506322,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning ,Services,No Value
123,2024-25,1683,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning ,Supplies and equipment,No Value
124,2024-25,8343,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
125,2024-25,3753647,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
126,2024-25,25326,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
127,2024-25,264,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
128,2024-25,257895,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
129,2024-25,49301,Energy,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
130,2024-25,18338,Energy,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister without Portfolio's Salary, the Executive Council Act"
131,2024-25,33334,Energy,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
132,2024-25,15587596,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Salaries and wages,No Value
133,2024-25,2258630,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Employee benefits,No Value
134,2024-25,77520,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Transportation and communication,No Value
135,2024-25,2128238,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Services,No Value
136,2024-25,24178,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Supplies and equipment,No Value
137,2024-25,93082338,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Transfer payments,Pumped Storage Project
138,2024-25,687545,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Transfer payments,"Energy Support, Engagement and Indigenous Partnership Programs"
139,2024-25,0,Energy,Operating Expense,Energy Development and Management Program,Policy and Programs,No Value,Recoveries,No Value
140,2024-25,101,Energy,Operating Expense,Energy Development and Management Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
141,2024-25,20597590,Energy,Capital Expense,Energy Development and Management Program,Energy Development and Management - Expenses - Capital Expense,No Value,Transfer payments,Future Clean Electricity Fund
142,2024-25,188104474,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Ontario Electricity Support Program
143,2024-25,396411439,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Distribution Rate Protection
144,2024-25,254498022,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Rural or Remote Rate Protection Program
145,2024-25,32824391,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Northern Ontario Energy Credit
146,2024-25,2282628307,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Ontario Electricity Rebate
147,2024-25,3137310612,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Comprehensive Electricity Plan
148,2024-25,63539581,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,Fair Hydro Trust Financing Costs
149,2024-25,30101009,Energy,Operating Expense,Electricity Price Mitigation Program,Electricity Price Mitigation Programs,No Value,Transfer payments,On-Reserve First Nations Delivery Credit
150,2024-25,7403125,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
151,2024-25,1062681,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
152,2024-25,71105,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
153,2024-25,607557,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
154,2024-25,20004,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
155,2024-25,2356080,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Salaries and wages,No Value
156,2024-25,431552,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Employee benefits,No Value
157,2024-25,14808,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Transportation and communication,No Value
158,2024-25,594016,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Services,No Value
159,2024-25,4047,Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Supplies and equipment,No Value
160,2024-25,49301,Long-Term Care,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
161,2024-25,10940,Long-Term Care,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
162,2024-25,64275747,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Salaries and wages,No Value
163,2024-25,11387843,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Employee benefits,No Value
164,2024-25,2802623,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Transportation and communication,No Value
165,2024-25,14633822,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Services,No Value
166,2024-25,94644,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Supplies and equipment,No Value
167,2024-25,2566918037,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Transfer payments,Long-Term Care Homes - System Capacity and Modernization
168,2024-25,5717643365,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Long-Term Care Homes Program,No Value,Transfer payments,Long-Term Care Homes - Operations
169,2024-25,180609,Long-Term Care,Operating Expense,Long-Term Care Homes Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
170,2024-25,10645000,Long-Term Care,Capital Expense,Long-Term Care Homes Program,Long-Term Care Program,No Value,Transfer payments,Long-Term Care Homes - Capital
171,2024-25,2032726,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
172,2024-25,264698,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
173,2024-25,47318,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
174,2024-25,152395,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
175,2024-25,18046,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
176,2024-25,1596680,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
177,2024-25,321993,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
178,2024-25,4874,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
179,2024-25,1048597,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
180,2024-25,4030,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
181,2024-25,1020341,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
182,2024-25,157526,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
183,2024-25,4739,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
184,2024-25,134820,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
185,2024-25,3078,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
186,2024-25,49301,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister’s Salary, the Executive Council Act"
